ANAR 104,,LE,A00,TuTh,12:30p-1:50p,SEQUO,142,,
ANAR 154,992116,LE,A00,TuTh,9:30a-10:50a,SEQUO,147,Braswell, Geoffrey E.              
ANAR 158,170,LE,A00,MWF,11:00a-11:50a,SEQUO,147,Goldstein, Paul S                  
ANBI 100,998481,LE,A00,W,5:00p-7:50p,CENTR,217B,Fox, Patrick Keolu Ozer            
ANBI 116,992118,LE,A00,TuTh,9:30a-10:50a,CSB,4,Gagneux, Pascal                    
ANBI 134,998486,LE,A00,M,5:00p-7:50p,CENTR,205,,
ANBI 135,,LE,A00,M,10:00a-10:50a,SSB,269,,
ANBI 135,992120,LA,A01,M,11:00a-12:50p,SSRB,339,,
ANBI 140,992121,LE,A00,MWF,3:00p-3:50p,SOLIS,109,Hrvoj Mihic, Branka                
ANBI 144,998526,LE,A00,TuTh,8:00a-9:20a,SOLIS,109,,
ANSC 101,992123,LE,A00,TuTh,3:30p-4:50p,CSB,4,Williams Green, Leanne Judith      
ANSC 117,992125,LE,A00,TuTh,5:00p-6:20p,CSB,1,Kang, Byung Chu                    
ANSC 122,992126,LE,A00,TuTh,9:30a-10:50a,CENTR,217B,Haviland, John B.                  
ANSC 125,992127,LE,A00,TuTh,11:00a-12:20p,WLH,2111,Brenner, Suzanne A                 
ANSC 129,992128,LE,A00,TuTh,2:00p-3:20p,MCGIL,2315,Csordas, Thomas J.                 
ANSC 148,992130,LE,A00,TuTh,12:30p-1:50p,CENTR,119,Denham, Aaron Renfrew              
ANSC 149,992131,LE,A00,TuTh,3:30p-4:50p,CENTR,217B,Varma, Saiba                       
ANSC 150,996133,LE,A00,W,5:00p-7:50p,SOLIS,110,Olivas Hernandez, Olga Lid         
ANSC 173,992132,SE,A00,W,9:00a-11:50a,SSB,105,Brenner, Suzanne A                 
ANSC 188,992133,LE,A00,TuTh,5:00p-6:20p,YORK,3050B,Jassal, Aftab                      
ANSC 190,992134,LE,A00,TuTh,12:30p-1:50p,CENTR,217B,Jassal, Aftab                      
ANSC 191,992135,SE,A00,MWF,2:00p-2:50p,HSS,2321,Yeh, Rihan Wen Xin                 
ANSC 192A,998269,LE,A00,MWF,2:00p-2:50p,SOLIS,109,Pedersen, David                    
ANSC 193,992136,LE,A00,MWF,12:00p-12:50p,CENTR,217B,Pedersen, David                    
ANSC 196,992483,SE,A00,M,9:00a-11:50a,SSB,105,Postero, Nancy Grey                
ANTH 1,992137,LE,A00,TuTh,12:30p-1:50p,PCYNH,122,Varma, Saiba                       
ANTH 5,,LE,A00,MWF,1:00p-1:50p,SOLIS,109,,
ANTH 21,,LE,A00,TuTh,11:00a-12:20p,LEDDN,AUD,Dalla Dea, Ariane Lumena           
ANTH 21,992141,DI,A01,W,1:00p-1:50p,CENTR,217B,,
ANTH 21,992142,DI,A02,W,2:00p-2:50p,CENTR,217B,,
ANTH 21,992143,DI,A03,W,3:00p-3:50p,CENTR,217B,,
ANTH 21,992144,DI,A04,W,4:00p-4:50p,CENTR,217B,,
ANTH 21,992145,DI,A05,F,9:00a-9:50a,CENTR,201,,
ANTH 21,992146,DI,A06,F,10:00a-10:50a,CENTR,201,,
ANTH 21,992147,DI,A07,F,11:00a-11:50a,CENTR,201,,
ANTH 21,992148,DI,A08,F,12:00p-12:50p,CENTR,201,,
ANTH 21,,LE,B00,TuTh,8:00a-9:20a,PETER,102,,
ANTH 21,992150,DI,B01,M,10:00a-10:50a,APM,2301,,
ANTH 21,992151,DI,B02,W,11:00a-11:50a,APM,2301,,
ANTH 23,,LE,A00,MWF,9:00a-9:50a,SOLIS,104,Stewart, Alexander B               
ANTH 23,992153,DI,A01,M,1:00p-1:50p,CENTR,201,Stewart, Alexander B               
ANTH 23,992155,DI,A03,W,4:00p-4:50p,CENTR,205,Stewart, Alexander B               
ANTH 23,992156,DI,A04,W,5:00p-5:50p,CENTR,205,Stewart, Alexander B               
ANTH 23,992157,DI,A05,W,6:00p-6:50p,CENTR,205,Stewart, Alexander B               
ANTH 23,,LE,B00,MWF,10:00a-10:50a,SOLIS,104,Stewart, Alexander B               
ANTH 23,992160,DI,B02,W,12:00p-12:50p,CENTR,207,,
ANTH 23,992161,DI,B03,W,1:00p-1:50p,CENTR,207,,
ANTH 23,992162,DI,B04,F,2:00p-2:50p,CENTR,207,,
ANTH 23,992163,DI,B05,F,3:00p-3:50p,CENTR,207,,
ANTH 102,992164,LE,A00,MWF,1:00p-1:50p,CENTR,115,Hrvoj Mihic, Branka                
ANTH 106,992166,LE,A00,MWF,9:00a-9:50a,HSS,2321,Jones, Ian William Nasser          
ANTH 109,992169,LE,A00,MWF,5:00p-5:50p,PETER,103,Jones, Ian William Nasser          
ANTH 111,998525,LE,A00,TuTh,5:00p-6:20p,SOLIS,109,,
ANTH 196B,992170,SE,A00,F,10:00a-12:50p,SSB,105,Non, Amy L                         
AWP  1,996149,SE,1,MWF,8:00a-8:50a,MANDE,B-146,Given, William Allan               
AWP  1,996150,SE,2,MWF,9:00a-9:50a,MANDE,B-146,Given, William Allan               
AWP  1,996151,SE,3,MWF,10:00a-10:50a,MANDE,B-146,Given, William Allan               
AWP  1,996152,SE,4,MWF,1:00p-1:50p,MANDE,B-146,Sheredos, Benjamin C               
AWP  1,996153,SE,5,MWF,2:00p-2:50p,MANDE,B-146,Sheredos, Benjamin C               
AWP  1,996154,SE,6,MWF,3:00p-3:50p,MANDE,B-146,Sheredos, Benjamin C               
AWP  1,996155,SE,7,MWF,8:00a-8:50a,MANDE,B-152,Haugh, Megan Nicole                
AWP  1,996156,SE,8,MWF,9:00a-9:50a,MANDE,B-152,Haugh, Megan Nicole                
AWP  1,996157,SE,9,MWF,1:00p-1:50p,MANDE,B-152,Risvold, Ward Jay                  
AWP  1,996158,SE,10,MWF,2:00p-2:50p,MANDE,B-152,Risvold, Ward Jay                  
AWP  1,996159,SE,11,MWF,2:00p-2:50p,MANDE,127,Tessier, Jillian Marie             
AWP  1,996160,SE,12,MWF,9:00a-9:50a,MANDE,B-153,Tessier, Jillian Marie             
AWP  1,996161,SE,13,MWF,1:00p-1:50p,MANDE,B-153,Heiser, Jerrod A                   
AWP  1,996162,SE,14,MWF,2:00p-2:50p,MANDE,B-153,Heiser, Jerrod A                   
AWP  2A,996163,SE,1,MW,9:30a-10:50a,LIT,245,Gonzales, Paulina Margarita        
AWP  2A,996164,SE,2,MW,2:00p-3:20p,LIT,245,Coulter, Jane Elisabeth            
AWP  2A,996165,SE,3,MW,12:30p-1:50p,MANDE,127,Tessier, Jillian Marie             
AWP  2A,996166,SE,4,MW,8:00a-9:20a,HSS,2333B,Steinberg, Stacy A                 
AWP  2A,996167,SE,5,MW,9:30a-10:50a,HSS,2333B,Steinberg, Stacy A                 
AWP  2A,996168,SE,6,MW,12:30p-1:50p,HSS,2305A,Vaughn, Kelsey Sara                
AWP  2A,996169,SE,7,MW,2:00p-3:20p,HSS,2305A,Vaughn, Kelsey Sara                
AWP  2A,996170,SE,8,MW,3:30p-4:50p,HSS,2305A,Krizovensky, Jaclyn A              
AWP  2A,996171,SE,9,MW,5:00p-6:20p,HSS,2305A,Krizovensky, Jaclyn A              
AWP  2A,996172,SE,10,MW,8:00a-9:20a,HSS,2305B,Powers, Sarah Elizabeth            
AWP  2A,996173,SE,11,MW,9:30a-10:50a,HSS,2305B,Powers, Sarah Elizabeth            
AWP  2A,996174,SE,12,MW,12:30p-1:50p,HSS,2305B,Haugh, Megan Nicole                
AWP  2A,996175,SE,13,MW,2:00p-3:20p,HSS,2305B,Tiernan, Christa Michelle          
AWP  2A,996176,SE,14,MW,3:30p-4:50p,HSS,2305B,Tiernan, Christa Michelle          
AWP  2A,996178,SE,16,MW,9:30a-10:50a,MANDE,127,Tsurska Svetina, Olena             
AWP  2A,996179,SE,17,MW,12:30p-1:50p,CENTR,208,Tsurska Svetina, Olena             
AWP  2A,996180,SE,18,MW,2:00p-3:20p,CENTR,208,Eastin, Schuyler E.                
AWP  2A,996181,SE,19,MW,3:30p-4:50p,CENTR,208,Eastin, Schuyler E.                
AWP  2A,996183,SE,21,MW,8:00a-9:20a,CENTR,224B,Naylor, Lisa Diane                 
AWP  2A,996184,SE,22,MW,9:30a-10:50a,CENTR,224B,Naylor, Lisa Diane                 
AWP  2A,996185,SE,23,MW,12:30p-1:50p,CENTR,224B,Christie, Veronica Ann             
AWP  2A,996186,SE,24,MW,2:00p-3:20p,CENTR,224B,Christie, Veronica Ann             
AWP  2A,996187,SE,25,MW,3:30p-4:50p,CENTR,224B,Risvold, Ward Jay                  
AWP  2B,996189,SE,1,TuTh,11:00a-12:20p,LIT,245,Gocsik, Karen Marie                
AWP  2B,996190,SE,2,TuTh,9:30a-10:50a,LIT,245,Bauer, Holly Jean                  
AWP  2B,996193,SE,5,TuTh,8:00a-9:20a,MANDE,B-146,Ajo, Frances Margaret              
AWP  2B,996194,SE,6,TuTh,9:30a-10:50a,MANDE,B-146,Ajo, Frances Margaret              
AWP  2B,996195,SE,7,TuTh,11:00a-12:20p,MANDE,B-146,Chandler, Bailee Daniele           
AWP  2B,996196,SE,8,TuTh,12:30p-1:50p,MANDE,B-146,Ajo, Frances Margaret              
AWP  2B,996197,SE,9,TuTh,2:00p-3:20p,MANDE,B-146,Chandler, Bailee Daniele           
AWP  2B,996198,SE,10,TuTh,3:30p-4:50p,MANDE,B-146,Chandler, Bailee Daniele           
AWP  2B,996199,SE,11,TuTh,9:30a-10:50a,MANDE,B-152,Wilson, Natalie Ann                
AWP  2B,996200,SE,12,TuTh,11:00a-12:20p,MANDE,B-152,Wilson, Natalie Ann                
AWP  2B,996201,SE,13,TuTh,12:30p-1:50p,MANDE,B-152,Ligorsky, Debra E.                 
AWP  2B,996202,SE,14,TuTh,2:00p-3:20p,MANDE,B-152,Wilson, Natalie Ann                
AWP  2B,996203,SE,15,TuTh,3:30p-4:50p,MANDE,B-152,Ligorsky, Debra E.                 
AWP  2B,996204,SE,16,TuTh,5:00p-6:20p,MANDE,B-152,Ligorsky, Debra E.                 
AWP  2B,996205,SE,17,TuTh,9:30a-10:50a,MANDE,B-153,Falcon, Jennifer A                 
AWP  2B,996206,SE,18,TuTh,11:00a-12:20p,MANDE,B-153,Falcon, Jennifer A                 
AWP  2B,996207,SE,19,TuTh,12:30p-1:50p,MANDE,B-153,Ejmont, Sylwia D.                  
AWP  2B,996208,SE,20,TuTh,2:00p-3:20p,MANDE,B-153,Falcon, Jennifer A                 
AWP  2B,996209,SE,21,TuTh,3:30p-4:50p,MANDE,B-153,Ejmont, Sylwia D.                  
AWP  2B,996210,SE,22,TuTh,5:00p-6:20p,MANDE,B-153,Ejmont, Sylwia D.                  
AWP  2B,996211,SE,23,TuTh,9:30a-10:50a,CENTR,208,Flint, Stephanie M                 
AWP  2B,996212,SE,24,TuTh,11:00a-12:20p,CENTR,208,Flint, Stephanie M                 
AWP  2B,996213,SE,25,TuTh,12:30p-1:50p,CENTR,208,Setoda, Kayleigh Kumiko            
AWP  2B,996214,SE,26,TuTh,2:00p-3:20p,CENTR,208,Flint, Stephanie M                 
AWP  2B,996215,SE,27,TuTh,3:30p-4:50p,CENTR,208,Setoda, Kayleigh Kumiko            
AWP  2B,996216,SE,28,TuTh,5:00p-6:20p,CENTR,208,Setoda, Kayleigh Kumiko            
AWP  2B,996217,SE,29,TuTh,9:30a-10:50a,CENTR,224B,Sartor, Alexandra                  
AWP  2B,996218,SE,30,TuTh,11:00a-12:20p,CENTR,224B,Sartor, Alexandra                  
AWP  2B,996219,SE,31,TuTh,12:30p-1:50p,CENTR,224B,Santschi, Kimberly Paige           
AWP  2B,996220,SE,32,TuTh,2:00p-3:20p,CENTR,224B,Santschi, Kimberly Paige           
AWP  2B,996221,SE,33,TuTh,3:30p-4:50p,CENTR,224B,Santschi, Kimberly Paige           
BENG 1,,LE,A00,W,5:00p-6:20p,SOLIS,107,Sah, Robert Lie-Yuan               
BENG 1,999209,LA,A01,Th,9:00a-10:20a,SME,303,Sah, Robert Lie-Yuan               
BENG 1,999210,LA,A02,Th,10:30a-11:50a,SME,303,Sah, Robert Lie-Yuan               
BENG 1,999211,LA,A03,Th,12:00p-1:20p,SME,303,Sah, Robert Lie-Yuan               
BENG 1,999212,LA,A04,Th,1:30p-2:50p,SME,303,Sah, Robert Lie-Yuan               
BENG 1,999213,LA,A05,F,9:00a-10:20a,SME,303,Sah, Robert Lie-Yuan               
BENG 1,999214,LA,A06,F,10:30a-11:50a,SME,303,Sah, Robert Lie-Yuan               
BENG 112A,,LE,A00,TuTh,11:00a-12:20p,PFBH,161,Valdez-Jasso, Daniela              
BENG 112A,999216,DI,A01,M,2:00p-2:50p,PFBH,161,Valdez-Jasso, Daniela              
BENG 112A,,LE,B00,TuTh,12:30p-1:50p,PFBH,161,Valdez-Jasso, Daniela              
BENG 112A,999218,DI,B01,M,3:00p-3:50p,PFBH,161,Valdez-Jasso, Daniela              
BENG 119B,999219,LE,A00,Tu,5:00p-5:50p,PFBH,226,Wheeler, Bruce Christopher         
BENG 119B,,LA,A01,Tu,6:00p-6:50p,PFBH,108,Wheeler, Bruce Christopher         
BENG 120,,LE,A00,TuTh,3:30p-4:50p,WLH,2111,Subramaniam, Shankar               
BENG 120,999222,DI,A01,F,4:00p-4:50p,CENTR,205,Subramaniam, Shankar               
BENG 120,999223,DI,A02,F,1:00p-1:50p,CENTR,207,Subramaniam, Shankar               
BENG 123,,LE,A00,M,8:00p-8:50p,PFBH,191,Palsson, Bernhard O.               
BENG 123,999225,DI,A01,M,10:00a-10:50a,PFBH,161,Palsson, Bernhard O.               
BENG 123,999226,DI,A02,W,4:00p-4:50p,PFBH,161,Palsson, Bernhard O.               
BENG 125,999227,LE,A00,TuTh,5:00p-6:20p,PETER,104,Wheeler, Bruce Christopher         
BENG 125,,DI,A01,M,11:00a-11:50a,CENTR,207,Wheeler, Bruce Christopher         
BENG 125,,DI,A02,F,5:00p-5:50p,CENTR,201,Wheeler, Bruce Christopher         
BENG 126B,999228,LE,A00,M,8:00a-8:50a,PFBH,226,Wheeler, Bruce Christopher         
BENG 126B,,LA,A01,M,9:00a-9:50a,PFBH,108,Wheeler, Bruce Christopher         
BENG 127B,999230,LE,A00,F,9:00a-9:50a,PFBH,226,Wheeler, Bruce Christopher         
BENG 127B,,LA,A01,F,10:00a-1:50p,PFBH,108,Wheeler, Bruce Christopher         
BENG 128B,999232,LE,A00,M,1:00p-1:50p,PFBH,226,Wheeler, Bruce Christopher         
BENG 128B,,LA,A01,M,2:00p-2:50p,PFBH,108,Wheeler, Bruce Christopher         
BENG 129B,6536,LE,A00,M,6:00p-6:50p,PFBH,226,Wheeler, Bruce Christopher         
BENG 129B,,LA,A01,M,7:00p-8:50p,PFBH,108,Wheeler, Bruce Christopher         
BENG 130,999234,LE,A00,TuTh,12:30p-1:50p,CENTR,115,Coleman, Todd Prentice             
BENG 130,,DI,A01,M,1:00p-1:50p,YORK,3000A,Coleman, Todd Prentice             
